alpha,iterations,time_sec,parallel_efficiency,condition_number,residual_norm,algorithm,example
0.0,312,876.4,83,512000000.0,6.45e-09,IDR(12),Example 1
0.2,278,765.8,85,287000000.0,5.92e-09,IDR(12),Example 1
0.5,195,543.2,89,84500000.0,4.13e-09,BiCGSTAB,Example 1
0.8,114,324.7,92,19200000.0,2.87e-09,GMRES,Example 1
1.0,82,234.9,94,4760000.0,1.54e-09,GMRES,Example 1
0.0,387,1245.6,81,824000000.0,7.82e-09,IDR(16),Example 2
0.2,342,1087.3,83,413000000.0,6.95e-09,IDR(16),Example 2
0.4,274,876.9,86,176000000.0,5.43e-09,IDR(12),Example 2
0.6,201,654.2,89,59200000.0,3.87e-09,BiCGSTAB,Example 2
0.8,132,432.8,92,14500000.0,2.15e-09,GMRES,Example 2
1.0,87,287.5,94,3280000.0,1.28e-09,GMRES,Example 2
